Host_Death_Time,Host_Build,Level,Phase,Waterflow_Death,Health_Pct,Location,Phantom_Count,Phantom_Build,Phantom_Death
183.0,RAW_MELEE,162.0,1.0,False,56.0,OUTER,2.0,PROC_CAST,False
267.0,PROC_CAST,122.0,1.0,False,12.0,INNER,2.0,HYBRID,True
273.0,RAW_CAST,168.0,1.0,True,77.0,OUTER,2.0,HYBRID,True
198.0,PROC_MELEE,173.0,1.0,False,33.0,CENTER,1.0,,
184.0,RAW_MELEE,172.0,1.0,True,26.0,INNER,2.0,RAW_MELEE,True
104.0,HYBRID,157.0,2.0,True,87.0,CENTER,1.0,,
215.0,HYBRID,180.0,2.0,False,40.0,OUTER,1.0,,
205.0,RAW_CAST,131.0,1.0,True,39.0,INNER,1.0,,
158.0,RAW_MELEE,137.0,1.0,False,75.0,INNER,1.0,,
220.0,RAW_CAST,121.0,1.0,False,27.0,OUTER,1.0,,
245.0,PROC_MELEE,174.0,1.0,True,15.0,CENTER,2.0,RAW_MELEE,True
128.0,RAW_CAST,142.0,2.0,False,85.0,CENTER,1.0,,
65.0,HYBRID,151.0,2.0,False,50.0,CENTER,2.0,RAW_MELEE,True
270.0,RAW_MELEE,156.0,2.0,False,38.0,INNER,2.0,RAW_CAST,False
111.0,HYBRID,124.0,2.0,False,72.0,CENTER,1.0,,
50.0,HYBRID,146.0,2.0,True,21.0,INNER,2.0,PROC_MELEE,True
195.0,PROC_CAST,152.0,1.0,True,31.0,OUTER,2.0,PROC_CAST,False
252.0,PROC_CAST,143.0,2.0,False,30.0,OUTER,1.0,,
258.0,PROC_CAST,138.0,1.0,False,68.0,OUTER,2.0,HYBRID,False
149.0,PROC_MELEE,159.0,1.0,True,27.0,CENTER,2.0,HYBRID,True
87.0,PROC_CAST,170.0,1.0,False,34.0,CENTER,2.0,HYBRID,False
241.0,RAW_CAST,147.0,1.0,True,70.0,OUTER,1.0,,
86.0,RAW_MELEE,125.0,1.0,True,58.0,CENTER,2.0,PROC_MELEE,False
90.0,RAW_MELEE,172.0,2.0,True,22.0,INNER,2.0,PROC_MELEE,True
251.0,PROC_MELEE,120.0,2.0,True,22.0,CENTER,2.0,PROC_CAST,False
133.0,PROC_MELEE,169.0,1.0,True,88.0,CENTER,1.0,,
124.0,RAW_MELEE,146.0,2.0,False,53.0,CENTER,2.0,RAW_MELEE,False
170.0,PROC_MELEE,149.0,1.0,False,62.0,INNER,1.0,,
165.0,RAW_MELEE,171.0,2.0,False,6.0,INNER,2.0,PROC_CAST,True
157.0,RAW_MELEE,141.0,1.0,True,26.0,OUTER,2.0,PROC_MELEE,True
182.0,PROC_MELEE,154.0,2.0,True,55.0,INNER,2.0,PROC_CAST,True
267.0,PROC_CAST,168.0,2.0,False,35.0,CENTER,1.0,,
47.0,PROC_CAST,130.0,2.0,False,34.0,CENTER,2.0,HYBRID,False
70.0,PROC_CAST,146.0,1.0,False,28.0,OUTER,2.0,RAW_CAST,False
146.0,PROC_MELEE,127.0,2.0,False,74.0,CENTER,2.0,RAW_MELEE,True
273.0,PROC_MELEE,150.0,2.0,False,67.0,CENTER,2.0,RAW_CAST,True
65.0,HYBRID,139.0,1.0,False,40.0,INNER,2.0,RAW_CAST,False
189.0,RAW_CAST,120.0,1.0,True,78.0,INNER,2.0,RAW_CAST,False
74.0,PROC_CAST,172.0,1.0,True,84.0,INNER,2.0,RAW_MELEE,False
40.0,PROC_MELEE,129.0,1.0,False,21.0,OUTER,2.0,PROC_MELEE,False
118.0,PROC_CAST,173.0,1.0,True,8.0,CENTER,2.0,HYBRID,True
282.0,PROC_CAST,139.0,2.0,True,30.0,CENTER,1.0,,
299.0,PROC_MELEE,138.0,1.0,False,53.0,OUTER,2.0,RAW_MELEE,False
259.0,RAW_CAST,179.0,2.0,False,72.0,OUTER,2.0,PROC_CAST,True
122.0,RAW_CAST,157.0,2.0,True,87.0,CENTER,2.0,RAW_CAST,True
153.0,RAW_MELEE,136.0,2.0,False,69.0,CENTER,2.0,PROC_CAST,False
108.0,PROC_CAST,126.0,2.0,True,50.0,OUTER,2.0,HYBRID,False
78.0,PROC_CAST,160.0,1.0,False,20.0,CENTER,2.0,RAW_MELEE,False
139.0,RAW_MELEE,140.0,2.0,False,32.0,OUTER,2.0,PROC_MELEE,True
50.0,HYBRID,162.0,1.0,True,38.0,CENTER,2.0,PROC_CAST,True
152.0,PROC_MELEE,174.0,2.0,False,43.0,OUTER,2.0,PROC_MELEE,False
142.0,HYBRID,127.0,1.0,True,67.0,CENTER,1.0,,
69.0,HYBRID,167.0,1.0,False,37.0,CENTER,1.0,,
153.0,RAW_MELEE,177.0,1.0,True,74.0,INNER,1.0,,
300.0,PROC_CAST,153.0,1.0,False,64.0,OUTER,2.0,RAW_CAST,True
181.0,PROC_MELEE,141.0,1.0,False,70.0,CENTER,1.0,,
79.0,RAW_MELEE,125.0,2.0,True,50.0,CENTER,2.0,PROC_CAST,False
295.0,RAW_CAST,159.0,2.0,True,17.0,OUTER,2.0,PROC_MELEE,True
98.0,HYBRID,144.0,2.0,True,80.0,OUTER,1.0,,
271.0,RAW_CAST,164.0,1.0,True,80.0,INNER,1.0,,
59.0,PROC_CAST,162.0,1.0,True,34.0,OUTER,1.0,,
60.0,PROC_MELEE,141.0,1.0,False,48.0,OUTER,2.0,PROC_CAST,False
235.0,HYBRID,130.0,1.0,False,49.0,OUTER,2.0,RAW_CAST,True
221.0,HYBRID,151.0,2.0,True,16.0,INNER,1.0,,
91.0,RAW_MELEE,152.0,1.0,False,22.0,INNER,2.0,PROC_CAST,False
196.0,RAW_MELEE,178.0,2.0,False,57.0,INNER,2.0,RAW_MELEE,False
295.0,PROC_MELEE,142.0,1.0,False,48.0,OUTER,2.0,PROC_MELEE,True
276.0,PROC_CAST,154.0,2.0,True,63.0,OUTER,1.0,,
58.0,PROC_MELEE,166.0,2.0,False,22.0,CENTER,2.0,RAW_MELEE,False
270.0,HYBRID,122.0,1.0,False,57.0,INNER,2.0,PROC_MELEE,True
130.0,PROC_MELEE,163.0,2.0,True,15.0,OUTER,2.0,PROC_CAST,False
226.0,PROC_MELEE,155.0,1.0,True,55.0,CENTER,2.0,PROC_MELEE,True
256.0,HYBRID,177.0,1.0,True,92.0,CENTER,1.0,,
101.0,HYBRID,159.0,1.0,True,76.0,INNER,2.0,PROC_MELEE,False
237.0,PROC_CAST,156.0,1.0,False,17.0,CENTER,1.0,,
137.0,HYBRID,155.0,2.0,False,28.0,CENTER,2.0,RAW_CAST,False
43.0,RAW_MELEE,176.0,1.0,True,40.0,OUTER,1.0,,
151.0,RAW_MELEE,147.0,1.0,False,79.0,OUTER,2.0,PROC_MELEE,False
239.0,RAW_CAST,135.0,2.0,True,17.0,CENTER,1.0,,
20.0,RAW_MELEE,122.0,1.0,False,76.0,CENTER,2.0,PROC_MELEE,False
239.0,PROC_CAST,157.0,2.0,False,8.0,OUTER,1.0,,
240.0,HYBRID,167.0,1.0,False,15.0,CENTER,2.0,HYBRID,True
131.0,RAW_MELEE,128.0,1.0,False,19.0,INNER,2.0,PROC_MELEE,False
111.0,RAW_MELEE,155.0,2.0,False,26.0,OUTER,2.0,PROC_CAST,True
245.0,RAW_MELEE,146.0,1.0,True,92.0,INNER,2.0,HYBRID,True
64.0,HYBRID,127.0,2.0,True,21.0,INNER,2.0,PROC_CAST,False
152.0,RAW_CAST,127.0,2.0,False,67.0,CENTER,1.0,,
275.0,PROC_MELEE,126.0,2.0,False,28.0,OUTER,2.0,RAW_CAST,True
238.0,PROC_MELEE,158.0,2.0,True,91.0,OUTER,1.0,,
222.0,HYBRID,159.0,1.0,False,19.0,CENTER,2.0,HYBRID,True
178.0,HYBRID,166.0,2.0,False,38.0,INNER,2.0,PROC_CAST,True
284.0,RAW_MELEE,137.0,2.0,True,37.0,CENTER,2.0,PROC_CAST,True
210.0,PROC_MELEE,137.0,2.0,True,54.0,INNER,2.0,PROC_CAST,True
171.0,HYBRID,138.0,2.0,False,44.0,INNER,1.0,,
215.0,PROC_MELEE,135.0,2.0,True,75.0,CENTER,2.0,PROC_CAST,False
293.0,HYBRID,126.0,2.0,True,80.0,INNER,2.0,PROC_CAST,False
166.0,PROC_MELEE,161.0,1.0,True,54.0,INNER,1.0,,
246.0,PROC_MELEE,165.0,1.0,False,41.0,CENTER,2.0,RAW_MELEE,True
68.0,HYBRID,152.0,2.0,False,41.0,OUTER,2.0,RAW_MELEE,False
20.0,HYBRID,162.0,2.0,False,84.0,INNER,1.0,,
63.0,PROC_MELEE,179.0,2.0,True,34.0,OUTER,1.0,,
267.0,HYBRID,136.0,1.0,False,64.0,INNER,2.0,PROC_CAST,False
260.0,HYBRID,149.0,1.0,False,66.0,INNER,2.0,RAW_MELEE,False
198.0,PROC_CAST,150.0,2.0,False,26.0,INNER,2.0,PROC_CAST,True
287.0,PROC_CAST,148.0,1.0,True,89.0,INNER,2.0,RAW_CAST,True
107.0,RAW_MELEE,126.0,2.0,True,41.0,INNER,2.0,RAW_MELEE,False
212.0,RAW_CAST,153.0,2.0,False,46.0,CENTER,2.0,RAW_MELEE,False
230.0,RAW_CAST,165.0,2.0,False,55.0,INNER,2.0,PROC_MELEE,True
33.0,HYBRID,164.0,1.0,False,40.0,OUTER,2.0,RAW_CAST,False
177.0,RAW_CAST,152.0,2.0,True,36.0,CENTER,2.0,RAW_CAST,True
295.0,PROC_MELEE,169.0,2.0,True,11.0,CENTER,2.0,PROC_MELEE,False
87.0,RAW_CAST,178.0,2.0,False,77.0,CENTER,1.0,,
33.0,RAW_CAST,160.0,1.0,False,21.0,INNER,2.0,RAW_CAST,False
62.0,RAW_CAST,160.0,2.0,True,12.0,CENTER,2.0,RAW_MELEE,True
244.0,PROC_MELEE,129.0,1.0,True,12.0,INNER,1.0,,
102.0,PROC_CAST,127.0,1.0,True,6.0,INNER,2.0,RAW_MELEE,False
29.0,PROC_MELEE,174.0,1.0,True,78.0,OUTER,2.0,RAW_CAST,False
295.0,PROC_MELEE,150.0,1.0,False,60.0,OUTER,2.0,HYBRID,True
156.0,HYBRID,164.0,1.0,True,33.0,CENTER,2.0,RAW_MELEE,True
99.0,PROC_MELEE,148.0,2.0,True,57.0,CENTER,2.0,PROC_MELEE,False
130.0,PROC_MELEE,167.0,2.0,True,56.0,INNER,2.0,RAW_CAST,True
58.0,RAW_MELEE,135.0,1.0,True,52.0,INNER,1.0,,
166.0,RAW_MELEE,129.0,2.0,False,43.0,CENTER,2.0,RAW_MELEE,True
253.0,RAW_CAST,165.0,2.0,False,56.0,INNER,2.0,PROC_MELEE,True
159.0,PROC_CAST,132.0,2.0,True,67.0,OUTER,2.0,HYBRID,False
86.0,PROC_CAST,153.0,1.0,False,68.0,OUTER,1.0,,
225.0,HYBRID,127.0,1.0,False,90.0,OUTER,2.0,RAW_CAST,True
49.0,PROC_MELEE,168.0,2.0,False,18.0,CENTER,2.0,RAW_MELEE,False
230.0,RAW_MELEE,174.0,1.0,False,55.0,INNER,2.0,HYBRID,False
107.0,RAW_CAST,140.0,2.0,False,22.0,CENTER,1.0,,
135.0,HYBRID,122.0,1.0,False,52.0,CENTER,2.0,HYBRID,True
272.0,RAW_CAST,156.0,2.0,True,87.0,INNER,1.0,,
79.0,RAW_MELEE,147.0,1.0,True,46.0,CENTER,2.0,PROC_CAST,False
125.0,HYBRID,136.0,1.0,True,17.0,CENTER,1.0,,
194.0,PROC_CAST,174.0,2.0,False,91.0,INNER,2.0,PROC_MELEE,True
106.0,HYBRID,159.0,1.0,False,12.0,CENTER,2.0,HYBRID,False
273.0,RAW_CAST,180.0,2.0,True,49.0,OUTER,2.0,HYBRID,True
255.0,PROC_MELEE,161.0,2.0,True,78.0,OUTER,2.0,PROC_MELEE,False
208.0,RAW_CAST,175.0,1.0,False,44.0,CENTER,2.0,PROC_MELEE,True
163.0,RAW_MELEE,147.0,2.0,True,18.0,INNER,2.0,RAW_MELEE,True
57.0,HYBRID,147.0,2.0,False,81.0,CENTER,2.0,PROC_CAST,True
117.0,HYBRID,143.0,1.0,True,61.0,INNER,2.0,PROC_MELEE,True
163.0,RAW_MELEE,128.0,2.0,True,29.0,OUTER,2.0,HYBRID,False
125.0,PROC_MELEE,159.0,1.0,False,11.0,OUTER,2.0,RAW_CAST,True
150.0,PROC_MELEE,168.0,1.0,False,85.0,INNER,2.0,HYBRID,True
92.0,RAW_CAST,144.0,1.0,False,47.0,CENTER,1.0,,
201.0,PROC_MELEE,171.0,1.0,True,18.0,OUTER,1.0,,
171.0,RAW_MELEE,133.0,2.0,True,6.0,CENTER,1.0,,
37.0,HYBRID,120.0,2.0,False,40.0,CENTER,1.0,,
68.0,PROC_MELEE,130.0,1.0,True,68.0,INNER,2.0,HYBRID,False
69.0,RAW_CAST,142.0,1.0,False,59.0,CENTER,1.0,,
244.0,PROC_CAST,139.0,2.0,False,80.0,CENTER,2.0,HYBRID,True
100.0,RAW_MELEE,143.0,1.0,False,31.0,CENTER,2.0,RAW_CAST,False
33.0,RAW_MELEE,133.0,1.0,True,89.0,OUTER,2.0,RAW_MELEE,True
265.0,PROC_MELEE,177.0,2.0,False,16.0,CENTER,2.0,PROC_CAST,False
131.0,HYBRID,170.0,2.0,False,35.0,CENTER,1.0,,
155.0,PROC_CAST,153.0,1.0,True,30.0,CENTER,2.0,PROC_MELEE,False
134.0,RAW_CAST,129.0,1.0,False,92.0,CENTER,1.0,,
116.0,RAW_CAST,175.0,2.0,True,83.0,CENTER,2.0,PROC_MELEE,False
177.0,RAW_MELEE,151.0,2.0,True,24.0,CENTER,2.0,RAW_MELEE,True
74.0,RAW_CAST,128.0,2.0,False,90.0,CENTER,2.0,RAW_MELEE,True
111.0,RAW_CAST,165.0,1.0,False,8.0,INNER,2.0,PROC_CAST,False
69.0,PROC_CAST,164.0,2.0,True,82.0,OUTER,1.0,,
82.0,PROC_MELEE,126.0,2.0,False,24.0,INNER,2.0,RAW_CAST,False
116.0,PROC_MELEE,173.0,1.0,True,16.0,CENTER,2.0,RAW_MELEE,False
152.0,RAW_MELEE,136.0,1.0,False,6.0,INNER,2.0,RAW_MELEE,False
63.0,RAW_MELEE,157.0,2.0,False,50.0,INNER,1.0,,
118.0,PROC_MELEE,134.0,2.0,False,77.0,OUTER,2.0,PROC_MELEE,True
239.0,PROC_CAST,179.0,1.0,False,13.0,CENTER,2.0,RAW_MELEE,False
112.0,RAW_MELEE,148.0,1.0,False,31.0,CENTER,1.0,,
295.0,RAW_CAST,154.0,2.0,False,75.0,INNER,1.0,,
76.0,PROC_CAST,122.0,2.0,False,51.0,OUTER,2.0,PROC_MELEE,False
249.0,RAW_CAST,127.0,2.0,True,76.0,OUTER,1.0,,
55.0,PROC_MELEE,136.0,2.0,False,17.0,CENTER,2.0,PROC_CAST,False
238.0,RAW_MELEE,162.0,1.0,False,37.0,INNER,2.0,RAW_MELEE,True
177.0,RAW_MELEE,136.0,1.0,True,10.0,INNER,1.0,,
22.0,RAW_MELEE,136.0,2.0,False,84.0,OUTER,2.0,RAW_CAST,False
213.0,HYBRID,147.0,2.0,False,11.0,CENTER,2.0,RAW_CAST,True
157.0,HYBRID,143.0,1.0,False,48.0,OUTER,1.0,,
228.0,RAW_CAST,132.0,1.0,True,49.0,CENTER,2.0,PROC_MELEE,True
125.0,PROC_MELEE,180.0,2.0,True,77.0,CENTER,1.0,,
154.0,PROC_MELEE,180.0,2.0,True,82.0,INNER,2.0,RAW_CAST,True
117.0,PROC_CAST,122.0,2.0,True,77.0,CENTER,1.0,,
220.0,RAW_MELEE,146.0,2.0,True,40.0,INNER,1.0,,
112.0,PROC_CAST,128.0,2.0,False,58.0,OUTER,2.0,RAW_CAST,False
254.0,PROC_MELEE,134.0,2.0,False,70.0,OUTER,2.0,PROC_MELEE,True
89.0,RAW_CAST,148.0,1.0,False,23.0,INNER,1.0,,
270.0,PROC_CAST,133.0,1.0,False,51.0,INNER,2.0,HYBRID,False
242.0,PROC_CAST,164.0,2.0,True,90.0,CENTER,2.0,PROC_CAST,False
149.0,HYBRID,130.0,2.0,True,52.0,OUTER,1.0,,
63.0,PROC_CAST,149.0,2.0,True,11.0,OUTER,2.0,RAW_CAST,True
137.0,PROC_MELEE,147.0,1.0,True,23.0,CENTER,2.0,RAW_MELEE,False
144.0,HYBRID,148.0,2.0,True,21.0,OUTER,2.0,HYBRID,False
270.0,PROC_CAST,133.0,2.0,False,14.0,CENTER,1.0,,
97.0,RAW_MELEE,169.0,1.0,True,81.0,INNER,2.0,HYBRID,False
109.0,HYBRID,152.0,1.0,False,26.0,INNER,2.0,PROC_MELEE,True
71.0,RAW_CAST,132.0,2.0,False,18.0,OUTER,2.0,PROC_CAST,False
159.0,HYBRID,139.0,2.0,False,35.0,CENTER,2.0,RAW_CAST,True
41.0,RAW_CAST,171.0,2.0,True,71.0,INNER,2.0,RAW_MELEE,True
92.0,PROC_MELEE,130.0,2.0,False,68.0,OUTER,2.0,RAW_MELEE,True
99.0,PROC_CAST,131.0,2.0,False,88.0,OUTER,2.0,PROC_CAST,False
117.0,RAW_MELEE,149.0,1.0,False,41.0,CENTER,2.0,RAW_CAST,True
34.0,HYBRID,176.0,1.0,True,42.0,CENTER,2.0,HYBRID,True
178.0,RAW_MELEE,148.0,2.0,True,83.0,CENTER,1.0,,
108.0,HYBRID,128.0,2.0,False,47.0,OUTER,2.0,RAW_MELEE,False
42.0,PROC_CAST,125.0,2.0,False,68.0,OUTER,2.0,HYBRID,True
92.0,PROC_CAST,131.0,1.0,False,50.0,CENTER,2.0,RAW_CAST,False
232.0,RAW_MELEE,142.0,2.0,True,26.0,INNER,1.0,,
180.0,RAW_CAST,124.0,1.0,True,13.0,OUTER,2.0,HYBRID,True
278.0,RAW_MELEE,174.0,1.0,True,78.0,CENTER,2.0,PROC_MELEE,False
86.0,RAW_MELEE,180.0,2.0,False,13.0,INNER,2.0,PROC_MELEE,True
198.0,PROC_CAST,167.0,1.0,False,12.0,CENTER,2.0,PROC_CAST,True
239.0,PROC_MELEE,147.0,1.0,True,72.0,CENTER,2.0,PROC_MELEE,False
65.0,RAW_MELEE,122.0,1.0,False,83.0,CENTER,2.0,RAW_MELEE,True
33.0,PROC_CAST,177.0,1.0,False,90.0,CENTER,1.0,,
293.0,PROC_CAST,147.0,1.0,True,6.0,CENTER,2.0,RAW_MELEE,True
105.0,RAW_MELEE,131.0,1.0,False,84.0,CENTER,2.0,RAW_CAST,False
198.0,PROC_CAST,159.0,2.0,True,78.0,INNER,1.0,,
106.0,PROC_CAST,127.0,2.0,True,51.0,INNER,2.0,RAW_CAST,True
122.0,RAW_CAST,154.0,1.0,True,61.0,INNER,2.0,RAW_MELEE,True
64.0,RAW_MELEE,143.0,2.0,False,64.0,OUTER,2.0,RAW_MELEE,False
177.0,RAW_MELEE,160.0,2.0,False,71.0,INNER,1.0,,
280.0,RAW_MELEE,173.0,1.0,False,13.0,INNER,2.0,PROC_MELEE,False
54.0,PROC_MELEE,148.0,2.0,False,20.0,INNER,2.0,RAW_CAST,False
244.0,RAW_MELEE,134.0,2.0,False,33.0,CENTER,2.0,HYBRID,False
189.0,PROC_CAST,152.0,2.0,False,17.0,CENTER,2.0,RAW_CAST,False
236.0,HYBRID,122.0,1.0,True,60.0,OUTER,2.0,PROC_CAST,False
148.0,RAW_MELEE,127.0,1.0,True,28.0,OUTER,2.0,HYBRID,False
32.0,RAW_MELEE,140.0,1.0,False,33.0,OUTER,1.0,,
167.0,RAW_MELEE,178.0,2.0,False,79.0,CENTER,2.0,PROC_CAST,False
