id_registro,Host_Death_Time,Host_Build,Level,Phase,Waterflow_Death,Health_Pct,Location,id_phantom
60,166.0,3,170.0,2.0,False,17.0,INNER,60
61,89.0,4,121.0,1.0,True,60.0,OUTER,61
62,95.0,5,174.0,2.0,True,49.0,CENTER,62
63,90.0,1,145.0,1.0,False,22.0,OUTER,63
64,261.0,1,123.0,1.0,False,14.0,CENTER,64
65,215.0,2,164.0,2.0,True,49.0,INNER,65
66,183.0,4,120.0,1.0,True,14.0,OUTER,66
67,93.0,1,131.0,2.0,False,83.0,INNER,67
68,62.0,2,135.0,1.0,True,63.0,OUTER,68
69,68.0,2,121.0,1.0,True,82.0,OUTER,69
70,265.0,3,148.0,1.0,False,60.0,INNER,70
71,129.0,1,171.0,1.0,True,70.0,CENTER,71
72,55.0,4,166.0,1.0,True,39.0,INNER,72
73,150.0,3,169.0,1.0,False,22.0,OUTER,73
74,185.0,4,139.0,2.0,False,92.0,CENTER,74
75,234.0,3,143.0,1.0,False,56.0,CENTER,75
76,244.0,3,169.0,2.0,False,62.0,INNER,76
77,98.0,5,124.0,2.0,False,40.0,OUTER,77
78,217.0,3,154.0,1.0,False,65.0,CENTER,78
79,291.0,2,176.0,2.0,True,15.0,OUTER,79
80,68.0,4,141.0,2.0,True,90.0,OUTER,80
81,174.0,5,142.0,2.0,True,45.0,INNER,81
82,273.0,4,176.0,2.0,True,38.0,OUTER,82
83,216.0,1,132.0,2.0,False,20.0,CENTER,83
84,294.0,2,161.0,1.0,True,40.0,OUTER,84
85,277.0,1,165.0,2.0,True,26.0,INNER,85
86,254.0,2,149.0,2.0,True,69.0,OUTER,86
87,285.0,1,139.0,2.0,True,48.0,OUTER,87
88,297.0,1,129.0,1.0,True,78.0,INNER,88
89,178.0,1,149.0,1.0,True,39.0,OUTER,89
90,182.0,2,138.0,1.0,True,81.0,OUTER,90
91,163.0,4,133.0,1.0,False,18.0,CENTER,91
92,155.0,3,162.0,1.0,False,85.0,OUTER,92
93,72.0,1,130.0,2.0,False,35.0,OUTER,93
94,170.0,3,127.0,2.0,True,87.0,OUTER,94
95,130.0,3,135.0,1.0,True,63.0,CENTER,95
96,74.0,4,125.0,1.0,False,28.0,INNER,96
97,89.0,4,158.0,2.0,False,87.0,OUTER,97
98,183.0,1,162.0,1.0,False,56.0,OUTER,98
99,267.0,4,122.0,1.0,False,12.0,INNER,99
100,273.0,2,168.0,1.0,True,77.0,OUTER,100
101,198.0,3,173.0,1.0,False,33.0,CENTER,101
102,184.0,1,172.0,1.0,True,26.0,INNER,102
103,104.0,5,157.0,2.0,True,87.0,CENTER,103
104,215.0,5,180.0,2.0,False,40.0,OUTER,104
105,205.0,2,131.0,1.0,True,39.0,INNER,105
106,158.0,1,137.0,1.0,False,75.0,INNER,106
107,220.0,2,121.0,1.0,False,27.0,OUTER,107
108,245.0,3,174.0,1.0,True,15.0,CENTER,108
109,128.0,2,142.0,2.0,False,85.0,CENTER,109
110,65.0,5,151.0,2.0,False,50.0,CENTER,110
111,270.0,1,156.0,2.0,False,38.0,INNER,111
112,111.0,5,124.0,2.0,False,72.0,CENTER,112
113,50.0,5,146.0,2.0,True,21.0,INNER,113
114,195.0,4,152.0,1.0,True,31.0,OUTER,114
115,252.0,4,143.0,2.0,False,30.0,OUTER,115
116,258.0,4,138.0,1.0,False,68.0,OUTER,116
117,149.0,3,159.0,1.0,True,27.0,CENTER,117
118,87.0,4,170.0,1.0,False,34.0,CENTER,118
119,241.0,2,147.0,1.0,True,70.0,OUTER,119
120,86.0,1,125.0,1.0,True,58.0,CENTER,120
121,90.0,1,172.0,2.0,True,22.0,INNER,121
122,251.0,3,120.0,2.0,True,22.0,CENTER,122
123,133.0,3,169.0,1.0,True,88.0,CENTER,123
124,124.0,1,146.0,2.0,False,53.0,CENTER,124
125,170.0,3,149.0,1.0,False,62.0,INNER,125
126,165.0,1,171.0,2.0,False,6.0,INNER,126
127,157.0,1,141.0,1.0,True,26.0,OUTER,127
128,182.0,3,154.0,2.0,True,55.0,INNER,128
129,267.0,4,168.0,2.0,False,35.0,CENTER,129
130,47.0,4,130.0,2.0,False,34.0,CENTER,130
131,70.0,4,146.0,1.0,False,28.0,OUTER,131
132,146.0,3,127.0,2.0,False,74.0,CENTER,132
133,273.0,3,150.0,2.0,False,67.0,CENTER,133
134,65.0,5,139.0,1.0,False,40.0,INNER,134
135,189.0,2,120.0,1.0,True,78.0,INNER,135
136,74.0,4,172.0,1.0,True,84.0,INNER,136
137,40.0,3,129.0,1.0,False,21.0,OUTER,137
138,118.0,4,173.0,1.0,True,8.0,CENTER,138
139,282.0,4,139.0,2.0,True,30.0,CENTER,139
140,299.0,3,138.0,1.0,False,53.0,OUTER,140
141,259.0,2,179.0,2.0,False,72.0,OUTER,141
142,122.0,2,157.0,2.0,True,87.0,CENTER,142
143,153.0,1,136.0,2.0,False,69.0,CENTER,143
144,108.0,4,126.0,2.0,True,50.0,OUTER,144
145,78.0,4,160.0,1.0,False,20.0,CENTER,145
146,139.0,1,140.0,2.0,False,32.0,OUTER,146
147,50.0,5,162.0,1.0,True,38.0,CENTER,147
148,152.0,3,174.0,2.0,False,43.0,OUTER,148
149,142.0,5,127.0,1.0,True,67.0,CENTER,149
150,69.0,5,167.0,1.0,False,37.0,CENTER,150
151,153.0,1,177.0,1.0,True,74.0,INNER,151
152,300.0,4,153.0,1.0,False,64.0,OUTER,152
153,181.0,3,141.0,1.0,False,70.0,CENTER,153
154,79.0,1,125.0,2.0,True,50.0,CENTER,154
155,295.0,2,159.0,2.0,True,17.0,OUTER,155
156,98.0,5,144.0,2.0,True,80.0,OUTER,156
157,271.0,2,164.0,1.0,True,80.0,INNER,157
158,59.0,4,162.0,1.0,True,34.0,OUTER,158
159,60.0,3,141.0,1.0,False,48.0,OUTER,159
160,235.0,5,130.0,1.0,False,49.0,OUTER,160
161,221.0,5,151.0,2.0,True,16.0,INNER,161
162,91.0,1,152.0,1.0,False,22.0,INNER,162
163,196.0,1,178.0,2.0,False,57.0,INNER,163
164,295.0,3,142.0,1.0,False,48.0,OUTER,164
165,276.0,4,154.0,2.0,True,63.0,OUTER,165
166,58.0,3,166.0,2.0,False,22.0,CENTER,166
167,270.0,5,122.0,1.0,False,57.0,INNER,167
168,130.0,3,163.0,2.0,True,15.0,OUTER,168
169,226.0,3,155.0,1.0,True,55.0,CENTER,169
170,256.0,5,177.0,1.0,True,92.0,CENTER,170
171,101.0,5,159.0,1.0,True,76.0,INNER,171
172,237.0,4,156.0,1.0,False,17.0,CENTER,172
173,137.0,5,155.0,2.0,False,28.0,CENTER,173
174,43.0,1,176.0,1.0,True,40.0,OUTER,174
175,151.0,1,147.0,1.0,False,79.0,OUTER,175
176,239.0,2,135.0,2.0,True,17.0,CENTER,176
177,20.0,1,122.0,1.0,False,76.0,CENTER,177
178,239.0,4,157.0,2.0,False,8.0,OUTER,178
179,240.0,5,167.0,1.0,False,15.0,CENTER,179
180,131.0,1,128.0,1.0,False,19.0,INNER,180
181,111.0,1,155.0,2.0,False,26.0,OUTER,181
182,245.0,1,146.0,1.0,True,92.0,INNER,182
183,64.0,5,127.0,2.0,True,21.0,INNER,183
184,152.0,2,127.0,2.0,False,67.0,CENTER,184
185,275.0,3,126.0,2.0,False,28.0,OUTER,185
186,238.0,3,158.0,2.0,True,91.0,OUTER,186
187,222.0,5,159.0,1.0,False,19.0,CENTER,187
188,178.0,5,166.0,2.0,False,38.0,INNER,188
189,284.0,1,137.0,2.0,True,37.0,CENTER,189
190,210.0,3,137.0,2.0,True,54.0,INNER,190
191,171.0,5,138.0,2.0,False,44.0,INNER,191
192,215.0,3,135.0,2.0,True,75.0,CENTER,192
193,293.0,5,126.0,2.0,True,80.0,INNER,193
194,166.0,3,161.0,1.0,True,54.0,INNER,194
195,246.0,3,165.0,1.0,False,41.0,CENTER,195
196,68.0,5,152.0,2.0,False,41.0,OUTER,196
197,20.0,5,162.0,2.0,False,84.0,INNER,197
198,63.0,3,179.0,2.0,True,34.0,OUTER,198
199,267.0,5,136.0,1.0,False,64.0,INNER,199
200,260.0,5,149.0,1.0,False,66.0,INNER,200
201,198.0,4,150.0,2.0,False,26.0,INNER,201
202,287.0,4,148.0,1.0,True,89.0,INNER,202
203,107.0,1,126.0,2.0,True,41.0,INNER,203
204,212.0,2,153.0,2.0,False,46.0,CENTER,204
205,230.0,2,165.0,2.0,False,55.0,INNER,205
206,33.0,5,164.0,1.0,False,40.0,OUTER,206
207,177.0,2,152.0,2.0,True,36.0,CENTER,207
208,295.0,3,169.0,2.0,True,11.0,CENTER,208
209,87.0,2,178.0,2.0,False,77.0,CENTER,209
210,33.0,2,160.0,1.0,False,21.0,INNER,210
211,62.0,2,160.0,2.0,True,12.0,CENTER,211
212,244.0,3,129.0,1.0,True,12.0,INNER,212
213,102.0,4,127.0,1.0,True,6.0,INNER,213
214,29.0,3,174.0,1.0,True,78.0,OUTER,214
215,295.0,3,150.0,1.0,False,60.0,OUTER,215
216,156.0,5,164.0,1.0,True,33.0,CENTER,216
217,99.0,3,148.0,2.0,True,57.0,CENTER,217
218,130.0,3,167.0,2.0,True,56.0,INNER,218
219,58.0,1,135.0,1.0,True,52.0,INNER,219
220,166.0,1,129.0,2.0,False,43.0,CENTER,220
221,253.0,2,165.0,2.0,False,56.0,INNER,221
222,159.0,4,132.0,2.0,True,67.0,OUTER,222
223,86.0,4,153.0,1.0,False,68.0,OUTER,223
224,225.0,5,127.0,1.0,False,90.0,OUTER,224
225,49.0,3,168.0,2.0,False,18.0,CENTER,225
226,230.0,1,174.0,1.0,False,55.0,INNER,226
227,107.0,2,140.0,2.0,False,22.0,CENTER,227
228,135.0,5,122.0,1.0,False,52.0,CENTER,228
229,272.0,2,156.0,2.0,True,87.0,INNER,229
230,79.0,1,147.0,1.0,True,46.0,CENTER,230
231,125.0,5,136.0,1.0,True,17.0,CENTER,231
232,194.0,4,174.0,2.0,False,91.0,INNER,232
233,106.0,5,159.0,1.0,False,12.0,CENTER,233
234,273.0,2,180.0,2.0,True,49.0,OUTER,234
235,255.0,3,161.0,2.0,True,78.0,OUTER,235
236,208.0,2,175.0,1.0,False,44.0,CENTER,236
237,163.0,1,147.0,2.0,True,18.0,INNER,237
238,57.0,5,147.0,2.0,False,81.0,CENTER,238
239,117.0,5,143.0,1.0,True,61.0,INNER,239
240,163.0,1,128.0,2.0,True,29.0,OUTER,240
241,125.0,3,159.0,1.0,False,11.0,OUTER,241
242,150.0,3,168.0,1.0,False,85.0,INNER,242
243,92.0,2,144.0,1.0,False,47.0,CENTER,243
244,201.0,3,171.0,1.0,True,18.0,OUTER,244
245,171.0,1,133.0,2.0,True,6.0,CENTER,245
246,37.0,5,120.0,2.0,False,40.0,CENTER,246
247,68.0,3,130.0,1.0,True,68.0,INNER,247
248,69.0,2,142.0,1.0,False,59.0,CENTER,248
249,244.0,4,139.0,2.0,False,80.0,CENTER,249
250,100.0,1,143.0,1.0,False,31.0,CENTER,250
251,33.0,1,133.0,1.0,True,89.0,OUTER,251
252,265.0,3,177.0,2.0,False,16.0,CENTER,252
253,131.0,5,170.0,2.0,False,35.0,CENTER,253
254,155.0,4,153.0,1.0,True,30.0,CENTER,254
255,134.0,2,129.0,1.0,False,92.0,CENTER,255
256,116.0,2,175.0,2.0,True,83.0,CENTER,256
257,177.0,1,151.0,2.0,True,24.0,CENTER,257
258,74.0,2,128.0,2.0,False,90.0,CENTER,258
259,111.0,2,165.0,1.0,False,8.0,INNER,259
260,69.0,4,164.0,2.0,True,82.0,OUTER,260
261,82.0,3,126.0,2.0,False,24.0,INNER,261
262,116.0,3,173.0,1.0,True,16.0,CENTER,262
263,152.0,1,136.0,1.0,False,6.0,INNER,263
264,63.0,1,157.0,2.0,False,50.0,INNER,264
265,118.0,3,134.0,2.0,False,77.0,OUTER,265
266,239.0,4,179.0,1.0,False,13.0,CENTER,266
267,112.0,1,148.0,1.0,False,31.0,CENTER,267
268,295.0,2,154.0,2.0,False,75.0,INNER,268
269,76.0,4,122.0,2.0,False,51.0,OUTER,269
270,249.0,2,127.0,2.0,True,76.0,OUTER,270
271,55.0,3,136.0,2.0,False,17.0,CENTER,271
272,238.0,1,162.0,1.0,False,37.0,INNER,272
273,177.0,1,136.0,1.0,True,10.0,INNER,273
274,22.0,1,136.0,2.0,False,84.0,OUTER,274
275,213.0,5,147.0,2.0,False,11.0,CENTER,275
276,157.0,5,143.0,1.0,False,48.0,OUTER,276
277,228.0,2,132.0,1.0,True,49.0,CENTER,277
278,125.0,3,180.0,2.0,True,77.0,CENTER,278
279,154.0,3,180.0,2.0,True,82.0,INNER,279
280,117.0,4,122.0,2.0,True,77.0,CENTER,280
281,220.0,1,146.0,2.0,True,40.0,INNER,281
282,112.0,4,128.0,2.0,False,58.0,OUTER,282
283,254.0,3,134.0,2.0,False,70.0,OUTER,283
284,89.0,2,148.0,1.0,False,23.0,INNER,284
285,270.0,4,133.0,1.0,False,51.0,INNER,285
286,242.0,4,164.0,2.0,True,90.0,CENTER,286
287,149.0,5,130.0,2.0,True,52.0,OUTER,287
288,63.0,4,149.0,2.0,True,11.0,OUTER,288
289,137.0,3,147.0,1.0,True,23.0,CENTER,289
290,144.0,5,148.0,2.0,True,21.0,OUTER,290
291,270.0,4,133.0,2.0,False,14.0,CENTER,291
292,97.0,1,169.0,1.0,True,81.0,INNER,292
293,109.0,5,152.0,1.0,False,26.0,INNER,293
294,71.0,2,132.0,2.0,False,18.0,OUTER,294
295,159.0,5,139.0,2.0,False,35.0,CENTER,295
296,41.0,2,171.0,2.0,True,71.0,INNER,296
297,92.0,3,130.0,2.0,False,68.0,OUTER,297
298,99.0,4,131.0,2.0,False,88.0,OUTER,298
299,117.0,1,149.0,1.0,False,41.0,CENTER,299
300,34.0,5,176.0,1.0,True,42.0,CENTER,300
301,178.0,1,148.0,2.0,True,83.0,CENTER,301
302,108.0,5,128.0,2.0,False,47.0,OUTER,302
303,42.0,4,125.0,2.0,False,68.0,OUTER,303
304,92.0,4,131.0,1.0,False,50.0,CENTER,304
305,232.0,1,142.0,2.0,True,26.0,INNER,305
306,180.0,2,124.0,1.0,True,13.0,OUTER,306
307,278.0,1,174.0,1.0,True,78.0,CENTER,307
308,86.0,1,180.0,2.0,False,13.0,INNER,308
309,198.0,4,167.0,1.0,False,12.0,CENTER,309
310,239.0,3,147.0,1.0,True,72.0,CENTER,310
311,65.0,1,122.0,1.0,False,83.0,CENTER,311
312,33.0,4,177.0,1.0,False,90.0,CENTER,312
313,293.0,4,147.0,1.0,True,6.0,CENTER,313
314,105.0,1,131.0,1.0,False,84.0,CENTER,314
315,198.0,4,159.0,2.0,True,78.0,INNER,315
316,106.0,4,127.0,2.0,True,51.0,INNER,316
317,122.0,2,154.0,1.0,True,61.0,INNER,317
318,64.0,1,143.0,2.0,False,64.0,OUTER,318
319,177.0,1,160.0,2.0,False,71.0,INNER,319
320,280.0,1,173.0,1.0,False,13.0,INNER,320
321,54.0,3,148.0,2.0,False,20.0,INNER,321
322,244.0,1,134.0,2.0,False,33.0,CENTER,322
323,189.0,4,152.0,2.0,False,17.0,CENTER,323
324,236.0,5,122.0,1.0,True,60.0,OUTER,324
325,148.0,1,127.0,1.0,True,28.0,OUTER,325
326,32.0,1,140.0,1.0,False,33.0,OUTER,326
327,167.0,1,178.0,2.0,False,79.0,CENTER,327
328,280.0,5,161.0,1.0,True,54.0,OUTER,328
329,208.0,1,176.0,1.0,False,30.0,OUTER,329
330,79.0,3,155.0,1.0,True,67.0,INNER,330
331,129.0,5,179.0,2.0,False,50.0,INNER,331
332,266.0,1,145.0,1.0,True,77.0,OUTER,332
333,289.0,2,135.0,2.0,True,11.0,INNER,333
334,89.0,1,176.0,1.0,True,25.0,INNER,334
335,91.0,4,172.0,2.0,False,15.0,INNER,335
336,296.0,2,126.0,2.0,True,39.0,INNER,336
337,287.0,2,175.0,2.0,False,8.0,OUTER,337
338,104.0,2,121.0,1.0,True,38.0,OUTER,338
339,204.0,3,138.0,2.0,True,40.0,OUTER,339
340,206.0,5,158.0,2.0,False,7.0,OUTER,340
341,140.0,4,173.0,1.0,False,79.0,INNER,341
342,108.0,4,129.0,1.0,False,32.0,CENTER,342
343,226.0,2,121.0,2.0,False,17.0,CENTER,343
344,280.0,1,143.0,2.0,False,17.0,OUTER,344
345,136.0,2,168.0,2.0,False,87.0,CENTER,345
346,296.0,3,153.0,1.0,False,29.0,CENTER,346
347,160.0,1,146.0,2.0,False,21.0,OUTER,347
348,282.0,2,164.0,1.0,False,24.0,OUTER,348
349,61.0,5,154.0,1.0,True,12.0,OUTER,349
350,192.0,1,177.0,2.0,True,76.0,OUTER,350
351,152.0,2,152.0,2.0,False,58.0,INNER,351
352,85.0,5,145.0,2.0,False,47.0,CENTER,352
353,257.0,3,138.0,1.0,True,90.0,CENTER,353
354,129.0,2,124.0,1.0,True,66.0,INNER,354
355,114.0,4,156.0,2.0,False,29.0,OUTER,355
356,230.0,2,177.0,2.0,False,38.0,OUTER,356
357,250.0,4,135.0,1.0,False,78.0,INNER,357
358,253.0,1,156.0,1.0,False,79.0,OUTER,358
359,76.0,2,156.0,2.0,False,73.0,INNER,359
360,31.0,3,165.0,1.0,True,51.0,OUTER,360
361,122.0,4,140.0,1.0,False,30.0,INNER,361
362,292.0,4,125.0,1.0,True,63.0,OUTER,362
363,250.0,1,140.0,1.0,True,19.0,CENTER,363
364,257.0,4,177.0,2.0,True,44.0,CENTER,364
365,59.0,4,129.0,1.0,True,69.0,CENTER,365
366,292.0,3,138.0,1.0,True,27.0,CENTER,366
367,254.0,2,164.0,1.0,True,41.0,OUTER,367
368,246.0,4,120.0,2.0,False,89.0,INNER,368
369,168.0,4,126.0,1.0,True,44.0,INNER,369
370,134.0,1,157.0,1.0,False,29.0,OUTER,370
371,222.0,2,145.0,2.0,True,36.0,INNER,371
372,79.0,2,135.0,1.0,True,60.0,OUTER,372
373,220.0,5,168.0,2.0,False,65.0,OUTER,373
374,150.0,4,142.0,1.0,False,90.0,CENTER,374
375,204.0,1,137.0,2.0,False,9.0,OUTER,375
376,181.0,5,154.0,2.0,False,93.0,OUTER,376
377,156.0,1,165.0,1.0,False,40.0,INNER,377
378,162.0,4,123.0,2.0,False,30.0,CENTER,378
379,56.0,2,158.0,2.0,True,26.0,OUTER,379
380,62.0,5,122.0,2.0,True,7.0,INNER,380
381,204.0,2,174.0,1.0,True,17.0,OUTER,381
382,66.0,2,150.0,1.0,False,23.0,CENTER,382
383,60.0,4,170.0,2.0,True,42.0,CENTER,383
384,123.0,2,125.0,1.0,False,44.0,OUTER,384
385,128.0,5,172.0,2.0,True,18.0,OUTER,385
386,80.0,2,170.0,1.0,False,75.0,OUTER,386
387,161.0,2,149.0,1.0,False,54.0,OUTER,387
388,170.0,3,132.0,2.0,False,34.0,OUTER,388
389,52.0,3,179.0,2.0,False,67.0,INNER,389
390,64.0,5,166.0,2.0,True,49.0,INNER,390
391,262.0,4,126.0,2.0,False,26.0,CENTER,391
392,74.0,1,177.0,1.0,True,18.0,CENTER,392
393,56.0,2,148.0,1.0,False,66.0,OUTER,393
394,203.0,3,127.0,2.0,False,56.0,INNER,394
395,93.0,4,160.0,2.0,True,66.0,INNER,395
396,293.0,1,176.0,1.0,True,12.0,INNER,396
397,191.0,3,133.0,1.0,False,12.0,OUTER,397
398,273.0,1,129.0,2.0,False,20.0,CENTER,398
399,251.0,2,179.0,2.0,True,78.0,INNER,399
400,251.0,1,143.0,2.0,False,14.0,CENTER,400
401,35.0,3,121.0,1.0,True,64.0,CENTER,401
402,209.0,1,140.0,2.0,False,17.0,CENTER,402
403,70.0,3,151.0,1.0,False,19.0,OUTER,403
404,80.0,1,173.0,1.0,True,91.0,INNER,404
405,155.0,4,164.0,1.0,False,12.0,OUTER,405
406,143.0,1,141.0,2.0,True,17.0,OUTER,406
407,115.0,2,150.0,2.0,True,79.0,CENTER,407
408,143.0,1,164.0,2.0,False,64.0,INNER,408
409,113.0,4,137.0,2.0,False,31.0,OUTER,409
410,244.0,4,150.0,2.0,False,56.0,OUTER,410
411,138.0,2,145.0,1.0,True,66.0,OUTER,411
412,278.0,2,123.0,2.0,True,9.0,INNER,412
413,66.0,3,141.0,2.0,False,93.0,OUTER,413
414,93.0,3,141.0,1.0,True,48.0,CENTER,414
415,195.0,4,167.0,1.0,True,61.0,INNER,415
416,45.0,1,145.0,2.0,False,47.0,CENTER,416
417,137.0,3,149.0,2.0,True,61.0,INNER,417
418,185.0,4,146.0,1.0,True,12.0,CENTER,418
419,174.0,1,179.0,2.0,True,89.0,CENTER,419
420,273.0,1,134.0,1.0,True,44.0,INNER,420
421,218.0,3,167.0,2.0,True,40.0,CENTER,421
422,114.0,2,154.0,2.0,False,60.0,INNER,422
423,220.0,4,159.0,1.0,True,41.0,CENTER,423
424,201.0,3,127.0,1.0,True,93.0,OUTER,424
425,236.0,3,136.0,1.0,False,68.0,INNER,425
426,21.0,1,124.0,2.0,False,90.0,CENTER,426
427,90.0,4,160.0,1.0,False,67.0,INNER,427
428,186.0,4,177.0,2.0,False,27.0,OUTER,428
429,255.0,3,159.0,2.0,False,62.0,OUTER,429
430,252.0,5,139.0,2.0,False,12.0,OUTER,430
431,131.0,1,135.0,1.0,False,11.0,INNER,431
432,115.0,2,131.0,2.0,False,74.0,CENTER,432
433,275.0,1,129.0,1.0,False,39.0,OUTER,433
434,256.0,5,147.0,2.0,False,15.0,CENTER,434
435,209.0,2,154.0,2.0,True,7.0,CENTER,435
436,199.0,5,131.0,1.0,False,11.0,CENTER,436
437,53.0,1,125.0,2.0,False,32.0,OUTER,437
438,266.0,1,168.0,1.0,False,34.0,CENTER,438
439,297.0,3,172.0,1.0,False,9.0,INNER,439
440,276.0,3,120.0,1.0,True,90.0,INNER,440
441,163.0,4,158.0,1.0,False,45.0,CENTER,441
442,203.0,4,138.0,1.0,False,61.0,INNER,442
443,160.0,4,172.0,2.0,False,91.0,OUTER,443
444,126.0,2,139.0,2.0,True,79.0,CENTER,444
445,212.0,2,177.0,2.0,False,59.0,INNER,445
446,154.0,4,155.0,1.0,False,57.0,INNER,446
447,63.0,3,157.0,1.0,False,68.0,OUTER,447
448,198.0,3,177.0,1.0,True,7.0,INNER,448
449,276.0,3,126.0,2.0,True,55.0,CENTER,449
450,127.0,1,172.0,1.0,True,53.0,CENTER,450
451,189.0,2,132.0,2.0,True,29.0,CENTER,451
452,155.0,3,120.0,1.0,False,6.0,CENTER,452
453,183.0,1,135.0,1.0,True,53.0,INNER,453
454,250.0,5,142.0,2.0,True,68.0,INNER,454
455,195.0,4,146.0,1.0,False,13.0,INNER,455
456,183.0,4,139.0,1.0,False,23.0,CENTER,456
457,166.0,1,135.0,2.0,False,16.0,INNER,457
458,36.0,4,153.0,2.0,False,71.0,INNER,458
459,276.0,3,180.0,1.0,False,79.0,INNER,459
460,45.0,4,131.0,1.0,False,56.0,INNER,460
461,86.0,1,134.0,2.0,False,26.0,INNER,461
462,86.0,4,141.0,1.0,False,46.0,INNER,462
463,130.0,4,131.0,2.0,False,87.0,CENTER,463
464,93.0,5,124.0,2.0,False,83.0,OUTER,464
465,176.0,1,145.0,1.0,True,80.0,INNER,465
466,135.0,5,151.0,2.0,True,90.0,INNER,466
467,283.0,1,166.0,2.0,True,79.0,CENTER,467
468,123.0,3,138.0,2.0,True,92.0,OUTER,468
469,76.0,2,159.0,1.0,False,49.0,CENTER,469
470,138.0,4,143.0,1.0,False,36.0,CENTER,470
471,83.0,5,166.0,2.0,True,78.0,INNER,471
472,136.0,2,145.0,1.0,True,44.0,CENTER,472
473,57.0,3,163.0,2.0,False,17.0,INNER,473
474,273.0,4,122.0,1.0,False,62.0,CENTER,474
475,47.0,3,124.0,2.0,False,91.0,INNER,475
476,247.0,5,149.0,1.0,True,90.0,CENTER,476
477,32.0,3,149.0,2.0,True,55.0,CENTER,477
478,141.0,1,158.0,2.0,True,40.0,OUTER,478
479,298.0,2,123.0,2.0,False,82.0,CENTER,479
480,257.0,5,174.0,1.0,True,87.0,INNER,480
481,114.0,4,180.0,1.0,True,66.0,OUTER,481
482,101.0,4,166.0,1.0,False,61.0,OUTER,482
483,96.0,3,129.0,1.0,False,63.0,CENTER,483
484,88.0,5,150.0,2.0,True,62.0,INNER,484
